ID1,ID2,Distance
MN424584.1,MN424584.1,0
MN425225.1,MN425225.1,0
MN425404.1,MN425404.1,0
MN425030.1,MN425030.1,0
MN424817.1,MN424817.1,0
MN425568.1,MN425568.1,0
MN425719.1,MN425719.1,0
MN425857.1,MN425857.1,0
MN425984.1,MN425984.1,0
MN425984.1,MN425985.1,0.00906034
MN425984.1,MN425986.1,0.00775144
MN425984.1,MN425987.1,0.00905143
MN425984.1,MN425988.1,0.00974152
MN426100.1,MN426100.1,0
MN425984.1,MN425989.1,0.00777888
MN426100.1,MN426101.1,0.00255899
MN425984.1,MN425990.1,0.00714414
MN425984.1,MN425991.1,0.00906012
MN426100.1,MN426103.1,0.0142429
MN425984.1,MN425992.1,0.0116555
MN425984.1,MN425993.1,0.00710572
MN426100.1,MN426106.1,0.00964847
MN425984.1,MN425994.1,0.0116599
MN426100.1,MN426108.1,0.00967019
MN425984.1,MN425995.1,0.0103666
MN426100.1,MN426110.1,0.0122525
MN425984.1,MN425996.1,0.0117776
MN425984.1,MN425997.1,0.00840944
MN426100.1,MN426114.1,0.0135574
MN425984.1,MN425998.1,0.0103931
MN426100.1,MN426116.1,0.0110009
MN425984.1,MN426000.1,0.00775537
MN425984.1,MN426001.1,0.00710554
MN425984.1,MN426002.1,0.00777341
MN425984.1,MN426003.1,0.0129994
MN425984.1,MN426004.1,0.00973738
MN425984.1,MN426006.1,0.0110358
MN425984.1,MN426007.1,0.009722
MN426100.1,MN426135.1,0.0148594
MN426100.1,MN426144.1,0.0109424
MN425030.1,MN425080.1,0.00195237
MN426100.1,MN426150.1,0.0142097
MN426100.1,MN426155.1,0.0142781
MN426100.1,MN426156.1,0.0129453
MN426100.1,MN426161.1,0.0129033
MN425984.1,MN426029.1,0.0149837
MN425984.1,MN426030.1,0.0130645
MN425984.1,MN426031.1,0.0103619
MN425984.1,MN426032.1,0.0110194
MN424817.1,MN424887.1,0.00516458
MN425984.1,MN426033.1,0.011041
MN426100.1,MN426171.1,0.0116589
MN425984.1,MN426034.1,0.0143099
MN425984.1,MN426036.1,0.0137987
MN425984.1,MN426037.1,0.0103541
MN425984.1,MN426038.1,0.010354
MN426100.1,MN426180.1,0.0148736
MN425984.1,MN426039.1,0.0117837
MN426100.1,MN426183.1,0.0135608
MN425984.1,MN426043.1,0.00976904
MN425984.1,MN426044.1,0.00646972
MN425984.1,MN426045.1,0.0143336
MN425984.1,MN426046.1,0.0110179
MN425984.1,MN426047.1,0.0136264
MN425984.1,MN426048.1,0.0143353
MN425984.1,MN426049.1,0.00971499
MN425984.1,MN426050.1,0.0110334
MN425984.1,MN426051.1,0.0116725
MN425984.1,MN426052.1,0.0123502
MN425984.1,MN426053.1,0.0117365
MN425984.1,MN426054.1,0.0110419
MN426100.1,MN426209.1,0.0129199
MN425984.1,MN426055.1,0.0123244
MN425984.1,MN426056.1,0.0110028
MN426100.1,MN426213.1,0.0149024
MN425984.1,MN426057.1,0.012368
MN425984.1,MN426058.1,0.0103724
MN425984.1,MN426059.1,0.00840454
MN425984.1,MN426061.1,0.00839809
MN426100.1,MN426223.1,0.0135837
MN425984.1,MN426062.1,0.0136182
MN426100.1,MN426224.1,0.0149327
MN425984.1,MN426063.1,0.00969892
MN426100.1,MN426227.1,0.0142243
MN425984.1,MN426064.1,0.0103783
MN426100.1,MN426229.1,0.0142144
MN425984.1,MN426065.1,0.0104063
MN425984.1,MN426066.1,0.0130103
MN425984.1,MN426067.1,0.0116913
MN425984.1,MN426068.1,0.0103459
MN425984.1,MN426069.1,0.00645728
MN425984.1,MN426070.1,0.0123657
MN425984.1,MN426071.1,0.0149608
MN425984.1,MN426072.1,0.0110419
MN425984.1,MN426073.1,0.0103485
MN425984.1,MN426074.1,0.00710536
MN425984.1,MN426075.1,0.00904544
MN425984.1,MN426076.1,0.012305
MN425984.1,MN426077.1,0.0129625
MN425984.1,MN426078.1,0.0116607
MN425984.1,MN426081.1,0.0130782
MN425030.1,MN425159.1,0.00130008
MN425984.1,MN426082.1,0.00972454
MN425984.1,MN426083.1,0.0090629
MN425984.1,MN426085.1,0.00841825
MN425984.1,MN426086.1,0.0116829
MN425984.1,MN426087.1,0.0123284
MN425984.1,MN426088.1,0.011695
MN425984.1,MN426089.1,0.00971174
MN425984.1,MN426090.1,0.0110144
MN425984.1,MN426091.1,0.0149868
MN425984.1,MN426092.1,0.00975496
MN425984.1,MN426093.1,0.0123124
MN425984.1,MN426094.1,0.0116808
MN425984.1,MN426095.1,0.010404
MN425984.1,MN426097.1,0.00714336
MN425984.1,MN426101.1,0.0142652
MN425984.1,MN426102.1,0.0103926
MN425984.1,MN426103.1,0.0090733
MN425984.1,MN426104.1,0.0130586
MN426100.1,MN426312.1,0.0122702
MN425984.1,MN426105.1,0.00972514
MN425984.1,MN426106.1,0.0123103
MN425984.1,MN426107.1,0.0130187
MN425984.1,MN426108.1,0.0123455
MN426100.1,MN426318.1,0.0149804
MN425984.1,MN426109.1,0.0103713
MN425984.1,MN426110.1,0.00971282
MN425984.1,MN426111.1,0.010386
MN425984.1,MN426112.1,0.0130063
MN424817.1,MN424994.1,0.00645369
MN426100.1,MN426325.1,0.0142636
MN425984.1,MN426113.1,0.0110662
MN425984.1,MN426115.1,0.0123561
MN425984.1,MN426121.1,0.0110322
MN426100.1,MN426344.1,0.0122464
MN425984.1,MN426131.1,0.0123604
MN425984.1,MN426133.1,0.011024
MN425984.1,MN426135.1,0.00970631
MN426100.1,MN426364.1,0.0149354
MN425984.1,MN426136.1,0.00839812
MN426100.1,MN426370.1,0.0149301
MN425984.1,MN426139.1,0.0110209
MN425984.1,MN426140.1,0.00905827
MN426100.1,MN426373.1,0.0142921
MN425984.1,MN426141.1,0.0142999
MN425984.1,MN426142.1,0.00974236
MN425984.1,MN426143.1,0.00905569
MN425984.1,MN426144.1,0.0149487
MN425984.1,MN426145.1,0.0116773
MN425984.1,MN426146.1,0.0110454
MN425984.1,MN426148.1,0.0116834
MN425984.1,MN426150.1,0.00645043
MN426100.1,MN426392.1,0.0122702
MN425984.1,MN426151.1,0.00970804
MN425984.1,MN426152.1,0.0117183
MN425984.1,MN426153.1,0.0129858
MN425984.1,MN426154.1,0.0136119
MN425984.1,MN426155.1,0.0091094
MN425984.1,MN426156.1,0.01235
MN425984.1,MN426158.1,0.0125228
MN425984.1,MN426159.1,0.0103965
MN425984.1,MN426160.1,0.0123178
MN425984.1,MN426161.1,0.0142802
MN425984.1,MN426163.1,0.0143563
MN425984.1,MN426164.1,0.0123363
MN425984.1,MN426165.1,0.0130313
MN426100.1,MN426419.1,0.0103167
MN425984.1,MN426166.1,0.00970798
MN425984.1,MN426167.1,0.0123174
MN425984.1,MN426169.1,0.0123529
MN425984.1,MN426170.1,0.0110444
MN425984.1,MN426173.1,0.0116999
MN425984.1,MN426176.1,0.00515321
MN425984.1,MN426177.1,0.0110109
MN425984.1,MN426178.1,0.0103579
MN425984.1,MN426179.1,0.0142977
MN425984.1,MN426180.1,0.0110118
MN426100.1,MN426447.1,0.014225
MN425984.1,MN426181.1,0.0096965
MN425984.1,MN426182.1,0.0117
MN425984.1,MN426183.1,0.00839814
MN425984.1,MN426184.1,0.0123484
MN425984.1,MN426185.1,0.00905556
MN425984.1,MN426187.1,0.0116724
MN425984.1,MN426188.1,0.0130299
MN425984.1,MN426189.1,0.0136626
MN425984.1,MN426190.1,0.00906043
MN425984.1,MN426191.1,0.0129929
MN425984.1,MN426192.1,0.011695
MN425984.1,MN426193.1,0.0123681
MN425984.1,MN426194.1,0.0090733
MN425984.1,MN426195.1,0.0136772
MN425984.1,MN426196.1,0.00775864
MN425984.1,MN426197.1,0.0103926
MN425984.1,MN426199.1,0.01431
MN425984.1,MN426200.1,0.0137356
MN425984.1,MN426201.1,0.0110305
MN425984.1,MN426202.1,0.0110722
MN425984.1,MN426203.1,0.0123369
MN425984.1,MN426204.1,0.0136524
MN425984.1,MN426205.1,0.0123483
MN425984.1,MN426206.1,0.0103571
MN425984.1,MN426207.1,0.0136696
MN425984.1,MN426208.1,0.0136137
MN425984.1,MN426209.1,0.00776233
MN425984.1,MN426210.1,0.0116821
MN426100.1,MN426505.1,0.0122527
MN425984.1,MN426212.1,0.0071141
MN425984.1,MN426213.1,0.00972503
MN425984.1,MN426214.1,0.0149223
MN425984.1,MN426215.1,0.0136399
MN425984.1,MN426216.1,0.0123364
MN425030.1,MN425379.1,0.0045804
MN425984.1,MN426217.1,0.013011
MN425984.1,MN426218.1,0.0110322
MN425984.1,MN426219.1,0.0116623
MN425984.1,MN426220.1,0.0117088
MN425984.1,MN426222.1,0.0149592
MN425984.1,MN426223.1,0.0149831
MN426100.1,MN426532.1,0.0149034
MN425984.1,MN426226.1,0.0110192
MN425984.1,MN426227.1,0.00905898
MN425984.1,MN426228.1,0.0129975
MN425984.1,MN426229.1,0.0136597
MN426100.1,MN426542.1,0.0148928
MN425984.1,MN426230.1,0.0077623
MN425984.1,MN426232.1,0.0136247
MN426100.1,MN426549.1,0.0148998
MN425984.1,MN426235.1,0.00969771
MN425984.1,MN426236.1,0.0130767
MN426100.1,MN426555.1,0.0135753
MN425984.1,MN426238.1,0.0143187
MN425984.1,MN426239.1,0.0123668
MN425984.1,MN426240.1,0.0136684
MN425984.1,MN426241.1,0.0143031
MN425984.1,MN426243.1,0.00908645
MN425984.1,MN426244.1,0.0136324
MN425984.1,MN426245.1,0.0103742
MN425984.1,MN426246.1,0.0142846
MN426100.1,MN426572.1,0.0129001
MN426100.1,MN426577.1,0.0135543
MN425984.1,MN426250.1,0.0136468
MN425984.1,MN426251.1,0.0136499
MN425984.1,MN426252.1,0.0103927
MN426100.1,MN426601.1,0.0135654
MN425984.1,MN426288.1,0.0110225
MN426100.1,MN426655.1,0.00900177
MN425030.1,MN425464.1,0.00586936
MN425984.1,MN426296.1,0.0138493
MN425984.1,MN426297.1,0.012332
MN425984.1,MN426299.1,0.0143472
MN425984.1,MN426300.1,0.0130079
MN425984.1,MN426301.1,0.0110117
MN425984.1,MN426302.1,0.0136684
MN425984.1,MN426304.1,0.0149582
MN425984.1,MN426305.1,0.0103571
MN425984.1,MN426306.1,0.0123321
MN426100.1,MN426732.1,0.0143096
MN425984.1,MN426307.1,0.0149599
MN425984.1,MN426308.1,0.0142917
MN426100.1,MN426737.1,0.0135541
MN425984.1,MN426310.1,0.0136493
MN425984.1,MN426312.1,0.0149659
MN425984.1,MN426313.1,0.0143114
MN425984.1,MN426315.1,0.0116833
MN425984.1,MN426318.1,0.0123773
MN425984.1,MN426320.1,0.0136431
MN425984.1,MN426321.1,0.0149616
MN425984.1,MN426322.1,0.0143049
MN425984.1,MN426325.1,0.0103829
MN425984.1,MN426327.1,0.0110108
MN425984.1,MN426328.1,0.0116632
MN425984.1,MN426330.1,0.00777743
MN425984.1,MN426331.1,0.0137331
MN425984.1,MN426333.1,0.0149868
MN425984.1,MN426334.1,0.0137038
MN426100.1,MN426783.1,0.0129216
MN425984.1,MN426335.1,0.0136471
MN425984.1,MN426338.1,0.0143402
MN426100.1,MN426791.1,0.0102986
MN425984.1,MN426339.1,0.0123503
MN425984.1,MN426341.1,0.00778158
MN425984.1,MN426342.1,0.0110194
MN425984.1,MN426343.1,0.0129682
MN425984.1,MN426344.1,0.0149539
MN425984.1,MN426345.1,0.0117175
MN425984.1,MN426347.1,0.012356
MN425984.1,MN426348.1,0.0116829
MN425984.1,MN426352.1,0.0130444
MN425984.1,MN426353.1,0.00905605
MN425984.1,MN426354.1,0.0123245
MN425984.1,MN426355.1,0.0136328
MN425984.1,MN426356.1,0.0123175
MN425984.1,MN426357.1,0.0123262
MN425984.1,MN426360.1,0.0136445
MN426100.1,MN426830.1,0.0116683
MN425984.1,MN426361.1,0.0149579
MN425984.1,MN426363.1,0.0149774
MN425984.1,MN426364.1,0.00976276
MN425984.1,MN426366.1,0.0104235
MN425984.1,MN426368.1,0.0130225
MN426100.1,MN426846.1,0.0148594
MN425984.1,MN426369.1,0.0136589
MN425984.1,MN426370.1,0.00844796
MN425984.1,MN426371.1,0.0104027
MN425984.1,MN426372.1,0.0149287
MN425984.1,MN426374.1,0.0123452
MN425984.1,MN426375.1,0.0116682
MN425984.1,MN426377.1,0.014971
MN425984.1,MN426378.1,0.0123261
MN425984.1,MN426379.1,0.0110791
MN426100.1,MN426866.1,0.00641513
MN425984.1,MN426380.1,0.0143685
MN425984.1,MN426381.1,0.011011
MN425984.1,MN426382.1,0.0136676
MN425984.1,MN426387.1,0.0110787
MN425984.1,MN426388.1,0.0137278
MN425984.1,MN426389.1,0.0143656
MN426100.1,MN426886.1,0.0122778
MN425984.1,MN426391.1,0.0149527
MN425984.1,MN426392.1,0.0123417
MN425984.1,MN426393.1,0.0136247
MN425984.1,MN426395.1,0.0110454
MN425984.1,MN426398.1,0.0130424
MN426100.1,MN426906.1,0.0136039
